id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19898,Duchess Suite,69729,Ryan,Victoria,Rockland,48.42515,-123.33977,Private room,,2,0,,,1,0,0,
41168,"Burma Suite, Ocean Island Garden Suites",173169,Ocean Island Garden Suites,Victoria,James Bay,48.41333,-123.37065,Entire home/apt,286,1,61,2023-08-27,0.46,3,71,1,38790
83515,GALLERY B&B SUITE,455118,Celia,Salt Spring Island,Salt Spring Island,48.86222,-123.49996,Entire home/apt,209,2,139,2024-05-31,0.87,3,306,23,
116831,Harbor View Studio in Restored Heritage Building,590251,Agi & Marco,Victoria,Downtown,48.42852,-123.36961,Entire home/apt,253,1,591,2023-12-28,6.53,1,29,35,
185732,Romantic 2 bedroom private suite,880366,Peter,Highlands,Highlands,48.50589,-123.46357,Private room,199,1,52,2019-09-22,0.33,3,358,0,
193366,Tudor Cottage,937766,Sandra,Victoria,Rockland,48.42574,-123.3376,Entire home/apt,135,30,156,2023-03-16,1.04,1,302,0,
201427,Economical forest mountain getaway,880366,Peter,Highlands,Highlands,48.50459,-123.46259,Private room,69,1,51,2020-02-22,0.35,3,360,0,
201441,Deluxe quiet romantic escape,880366,Peter,Highlands,Highlands,48.50474,-123.46352,Private room,139,1,12,2019-07-26,0.11,3,365,0,
203416,Galiano Island Eagles Nest Retreat Cabin - Private,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86572,-123.35163,Entire home/apt,,3,444,2024-06-22,3.14,2,0,30,
226028,Victoria LEED Home (upper floor),1178351,Allison,Victoria,Fernwood,48.42654,-123.35134,Entire home/apt,110,30,258,2024-06-15,1.66,2,305,2,
226030,LEED Home (main floor),1178351,Allison,Victoria,Fernwood,48.42888,-123.35237,Entire home/apt,,30,8,2018-07-09,0.07,2,0,0,
237053,Character Suite Inn Victorian Home,1216332,Ann,Victoria,James Bay,48.41222,-123.37,Private room,149,2,263,2023-05-23,1.70,2,351,0,38332
306192,Private Oceanfront Cottage,1574682,Norm & Pam,Sooke,Sooke,48.38343,-123.70666,Entire home/apt,215,5,95,2023-08-19,0.65,1,183,4,
394086,A Great Hotel Alternative,1923756,Bobbie,Victoria,North Jubilee,48.43202,-123.32535,Private room,110,30,126,2024-05-03,0.85,2,302,1,
401073,Oceanside James Bay Heritage Suite #5,2001974,Martin,Victoria,James Bay,48.41282,-123.37677,Entire home/apt,100,90,22,2023-06-30,0.20,17,64,1,
405558,James Bay Menzies-Dallas Oceanside Suite #2,2001974,Martin,Victoria,James Bay,48.41101,-123.37691,Entire home/apt,86,90,30,2022-10-31,0.20,17,122,0,
408315,"Longstay Sidney waterfront home, EaglesnestSidney",2032438,A,Sidney,Sidney,48.66168,-123.40394,Entire home/apt,401,6,24,2024-05-26,0.20,1,270,2,
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,Martin,Victoria,Fernwood,48.42599,-123.33919,Entire home/apt,89,90,27,2023-07-31,0.18,17,333,2,
410542,Rockland 1 Bedroom Suite Near Downtown,2001974,Martin,Victoria,Rockland,48.42436,-123.341,Entire home/apt,76,90,23,2024-01-31,0.16,17,149,3,
416786,Renovated Townhouse Near Downtown,2001974,Martin,Victoria,Fernwood,48.42634,-123.34648,Entire home/apt,129,90,24,2023-08-22,0.16,17,241,1,
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,Bobbie,Victoria,North Jubilee,48.43202,-123.32673,Private room,120,30,93,2024-06-11,0.64,2,151,1,
461498,Suite in Restored Heritage Property Suite #5,2001974,Martin,Victoria,Rockland,48.42398,-123.33868,Entire home/apt,89,90,27,2023-07-31,0.19,17,0,1,
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,Martin,Victoria,Rockland,48.42491,-123.34019,Entire home/apt,129,90,34,2023-07-21,0.23,17,90,1,
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41235,-123.37658,Entire home/apt,76,90,26,2024-03-02,0.18,17,302,1,
472025,Bloom Organic B&B - Orchard Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.92716,-123.57325,Private room,230,2,32,2023-08-26,0.27,1,361,1,
479450,"Beautiful, bright, Oaklands 8 (90+ nights or RTA)",2375062,John,Victoria,Oaklands,48.43833,-123.34868,Entire home/apt,175,90,66,2023-08-10,0.50,6,359,1,
514811,Waterfront Walks & Welcome Foodies,393956,Rhona,Saanich,Saanich,48.45318,-123.41749,Entire home/apt,117,2,269,2024-06-23,1.84,1,118,33,
515418,Brand New Luxury Renovation #1,2001974,Martin,Victoria,Rockland,48.42474,-123.33922,Entire home/apt,122,90,11,2023-03-31,0.08,17,364,0,
528492,Pied-à-terre Harbour Penthouse @ Mermaid Wharf,2596667,Teresa,Victoria,Downtown,48.43003,-123.37046,Entire home/apt,159,90,46,2024-02-25,0.34,1,358,10,
555737,Charming Suite #1 in Fernwood,2733135,Leonard And Valerie,Victoria,Fernwood,48.4356,-123.34058,Entire home/apt,112,90,123,2024-05-28,1.13,1,109,3,
559726,High End Renovation Near Downtown #2,2001974,Martin,Victoria,Fernwood,48.42568,-123.33997,Entire home/apt,89,90,23,2023-11-30,0.16,17,302,1,
561477,Cabin at Swallow's Keep,2760576,Marcia,Southern Gulf Islands,Southern Gulf Islands,48.99318,-123.57831,Entire home/apt,185,3,463,2024-06-24,3.31,1,127,34,
660733,Large Renovated 2 Bedroom Suite  Near Downtown #4,2001974,Martin,Victoria,Fernwood,48.42634,-123.33957,Entire home/apt,106,90,20,2022-09-30,0.14,17,0,0,
666592,Renovated Studio Across From Ocean #6,2001974,Martin,Victoria,James Bay,48.41245,-123.3773,Entire home/apt,96,90,13,2022-06-01,0.11,17,272,0,
668372,Tidal Waters Guest Suite,3383275,Alyssa,View Royal,View Royal,48.4589,-123.4276,Entire home/apt,150,3,155,2024-06-18,1.10,1,68,18,
687407,Pender Island Oceanfront Cottage #2,3500087,Paul,Southern Gulf Islands,Southern Gulf Islands,48.79815,-123.31079,Entire home/apt,128,2,51,2024-04-08,0.38,1,191,3,
734855,Character home in the heart of Oak Bay.,3752740,Josie,Oak Bay,Oak Bay,48.42213,-123.31058,Entire home/apt,,4,16,2021-08-19,0.12,1,0,0,
739975,"Cordova Bay Beach Suite, Oceanfront",3872067,Pam,Saanich,Saanich,48.51664,-123.36694,Entire home/apt,,2,243,2021-08-21,1.71,1,0,0,
773339,"Condo Close to Beach, Golf & RRU",4080829,Rob & Angelika,Colwood,Colwood,48.40774,-123.50932,Entire home/apt,139,3,48,2023-12-06,0.40,2,16,6,
784093,"Carriage House- ""The Sun Room""",4134834,Dan & Naoko,Victoria,James Bay,48.41493,-123.3689,Private room,105,3,271,2024-06-21,1.95,3,237,41,
796027,"Lovely, Private Character Cottage",1788814,Em,Saanich,Saanich,48.45505,-123.38602,Entire home/apt,170,7,20,2019-07-01,0.15,1,85,0,
811395,"Bright, Family Friendly home close to Down Town",1355904,Laurel,Saanich,Saanich,48.47057,-123.4073,Entire home/apt,,100,31,2022-08-03,0.22,1,59,0,
823111,Ocean view suite close to Royal Road's University,4321402,Gerri,Colwood,Colwood,48.41787,-123.48269,Entire home/apt,103,4,219,2024-06-21,1.65,1,278,17,
