rank,cca3,country/territory,capital,continent,2023_population,2022_population,2020_population,2015_population,2010_population,2000_population,1990_population,1980_population,1970_population,area_(km_),density_(kmâ²),growth_rate,world_percentage,growth_2000_to_2023,growth_2010_to_2020,projected_growth_rate,projected_population_2030,density_1970,density_2000,density_2023,development_status
36,AFG,Afghanistan,Kabul,Asia,42239854,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,65,2.70%,0.53%,116.13822291807871,38.25003001099126,0.03407859094128374,53406883.50939828,16.48647103015807,29.963328887049048,64.76220658356715,Developing
138,ALB,Albania,Tirana,Europe,2832439,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,103,-0.35%,0.04%,-10.986162567751753,-1.597790072695158,-0.005047148456138517,2733871.344637952,80.86583414498399,110.68669124808682,98.52647140670655,Developing
34,DZA,Algeria,Algiers,Africa,45606480,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,19,1.57%,0.57%,48.19509881210235,21.182644834063392,0.017249671525228605,51406668.769991376,5.792365752615419,12.921061106140424,19.148379273816925,Developing
213,ASM,American Samoa,Pago Pago,Oceania,43914,44273,46189,51368,54849,58230,47818,32886,27075,199,220,-0.81%,0.00%,-24.585265327150953,-15.78880198362778,-0.012193205624653647,40300.18693734607,136.05527638190955,292.61306532663315,220.67336683417085,Developing
203,AND,Andorra,Andorra la Vella,Europe,80088,79824,77700,71746,71519,66097,53569,35611,19860,468,170,0.33%,0.00%,21.167375221265715,8.642458647352452,0.008382883407639818,84907.43179529514,42.43589743589744,141.23290598290598,171.12820512820514,Developing
42,AGO,Angola,Luanda,Africa,36684202,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,29,3.08%,0.46%,123.76517790404844,43.07575890192618,0.03563893562155296,46874609.64238443,4.836528435068581,13.14996550894361,29.42504371540868,Developing
224,AIA,Anguilla,The Valley,North America,15899,15857,15585,14525,13172,11047,8316,6560,6283,91,175,0.26%,0.00%,43.92142663166471,18.3191618584877,0.015956281386404036,17762.126057771395,69.04395604395604,121.3956043956044,174.71428571428572,Developing
201,ATG,Antigua and Barbuda,Saint JohnÕs,North America,94298,93763,92664,89941,85695,75055,63328,64888,64516,442,214,0.57%,0.00%,25.63853174338818,8.132329774199194,0.009972826656827749,101081.18075515234,145.96380090497738,169.80769230769232,213.34389140271495,Developing
33,ARG,Argentina,Buenos Aires,South America,45773884,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,17,0.58%,0.57%,23.477011836871817,9.576392265298086,0.009211068120829946,48808088.387597166,8.575313983599482,13.332892389584233,16.463057114084304,Developing
140,ARM,Armenia,Yerevan,Asia,2777970,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,98,-0.09%,0.03%,-12.326026984812797,-4.774983343476022,-0.005703027970127339,2668949.578824329,85.20919207880846,106.5300406818411,93.39911912046531,Developing
