Rank,CCA3,Country/Territory,Capital,Continent,2023 population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km_),density (km¬≤),growth rate,world percentage
36,AFG,Afghanistan,Kabul,Asia,42239854,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,65,2.70%,0.53%
138,ALB,Albania,Tirana,Europe,2832439,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,103,-0.35%,0.04%
34,DZA,Algeria,Algiers,Africa,45606480,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,19,1.57%,0.57%
213,ASM,American Samoa,Pago Pago,Oceania,43914,44273,46189,51368,54849,58230,47818,32886,27075,199,220,-0.81%,0.00%
203,AND,Andorra,Andorra la Vella,Europe,80088,79824,77700,71746,71519,66097,53569,35611,19860,468,170,0.33%,0.00%
42,AGO,Angola,Luanda,Africa,36684202,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,29,3.08%,0.46%
224,AIA,Anguilla,The Valley,North America,15899,15857,15585,14525,13172,11047,8316,6560,6283,91,175,0.26%,0.00%
201,ATG,Antigua and Barbuda,Saint John’s,North America,94298,93763,92664,89941,85695,75055,63328,64888,64516,442,214,0.57%,0.00%
33,ARG,Argentina,Buenos Aires,South America,45773884,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,17,0.58%,0.57%
140,ARM,Armenia,Yerevan,Asia,2777970,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,98,-0.09%,0.03%
198,ABW,Aruba,Oranjestad,North America,106277,106445,106585,104257,100341,89101,65712,62267,59106,180,590,-0.16%,0.00%
55,AUS,Australia,Canberra,Oceania,26439111,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3,1.00%,0.33%
99,AUT,Austria,Vienna,Europe,8958960,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,109,0.22%,0.11%
91,AZE,Azerbaijan,Baku,Asia,10412651,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,126,0.53%,0.13%
176,BHS,Bahamas,Nassau,North America,412623,409984,406471,392697,373272,325014,270679,223752,179129,13943,41,0.64%,0.01%
154,BHR,Bahrain,Manama,Asia,1485509,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1892,0.90%,0.02%
8,BGD,Bangladesh,Dhaka,Asia,172954319,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570,1329,1.03%,2.16%
186,BRB,Barbados,Bridgetown,North America,281995,281635,280693,278083,274711,264657,258868,253575,241397,430,656,0.13%,0.00%
96,BLR,Belarus,Minsk,Europe,9498238,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,47,-0.39%,0.12%
81,BEL,Belgium,Brussels,Europe,11686140,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,386,0.26%,0.15%
